trip_id,arrival_time,departure_time,stop_id,stop_sequence
10106110,6:00:00,6:00:20,0110BAA,1
10106110,6:00:34,6:00:54,0110BNI,2
10106110,6:01:10,6:01:30,0110UMK,3
10106110,6:01:49,6:02:09,0110AEA,4
10106110,6:02:45,6:03:05,0100MOM,5
10106110,6:03:31,6:03:51,0100LIK,6
10106110,6:04:27,6:04:47,0100CHL,7
10106110,6:05:07,6:05:27,0100VIN,8
10106110,6:06:06,6:06:26,0100NJT,9
10106110,6:07:30,6:07:50,0100SHT,10
10106110,6:08:57,6:09:17,0110TVM,11
10106110,6:09:50,6:10:10,0100KSS,12
10106110,6:10:38,6:10:58,0100MIS,13
10106110,6:11:22,6:11:42,0100LSM,14
10106110,6:12:24,6:12:44,0100TTM,15
10106110,6:13:01,6:13:21,0100NAM,16
10106110,6:13:54,6:14:14,0110WAM,17
10106110,6:14:45,6:15:05,0100GUG,18
10106110,6:15:45,6:16:05,0100PEF,19
10106110,6:16:44,6:17:04,0110GTH,20
10106110,6:18:01,6:18:21,0100VEV,21
10106110,6:18:51,6:19:11,0110PBS,22
10106110,6:19:54,6:20:14,0100RBJ,23
10106110,6:20:54,6:21:14,0100DPA,24
10106110,6:21:45,6:22:05,0100NSO,25
10106110,6:22:22,6:22:42,0110ROS,26
10106110,6:23:00,6:23:20,0100MRC,27
10106110,6:24:40,6:25:00,0110RRS,28
10106110,6:26:08,6:26:28,0100RRP,29
10106110,6:27:19,6:27:39,0100RES,30
10106110,6:28:15,6:28:35,0100RKH,31
10106110,6:30:39,6:30:59,0110VMT,32
10106110,6:31:56,6:32:16,0100RRJ,33
10106110,6:33:59,6:34:19,0110UNA,34
10106110,6:35:25,6:35:45,0110SSA,35
10106110,6:37:08,6:37:28,0110R/B,36
10106110,6:38:44,6:39:04,0110MTS,37
10106110,6:41:08,6:41:28,0110IDR,38
10106110,6:41:49,6:42:09,0110RTU,39
10106110,6:42:36,6:42:56,0100TCP,40
10106110,6:43:27,6:43:47,0110HUN,41
10106110,6:44:26,6:44:46,0110TPA,42
10106110,6:45:08,6:45:28,0110AAN,43
10106110,6:46:10,6:46:30,0110AGK,44
10106110,6:47:33,6:47:53,0110PMA,45
10106110,6:48:35,6:48:55,0110HHH,46
10106110,6:49:34,6:49:54,0110IRT,47
10106110,6:50:41,6:51:01,0110SAI,48
10106110,6:52:08,6:52:28,0800NGR,49
10106110,6:53:30,6:53:50,0102KHJ,50
10106111,6:00:00,6:00:20,0102KHJ,1
10106111,6:01:39,6:01:59,0811ANG,2
10106111,6:02:37,6:02:57,0101JHS,3
10106111,6:03:53,6:04:13,0101STP,4
10106111,6:04:33,6:04:53,0111SPS,5
10106111,6:05:25,6:05:45,0101WBR,6
10106111,6:06:27,6:06:47,0101AGA,7
10106111,6:07:19,6:07:39,0111OLB,8
10106111,6:08:25,6:08:45,0111ACP,9
10106111,6:09:13,6:09:33,0101CPK,10
10106111,6:09:59,6:10:19,0111ATA,11
10106111,6:10:47,6:11:07,0111RHK,12
10106111,6:13:15,6:13:35,0111GIM,13
10106111,6:14:58,6:15:18,0111BEK,14
10106111,6:17:11,6:17:31,0111KOG,15
10106111,6:17:57,6:18:17,0111TUN,16
10106111,6:20:06,6:20:26,0111RHR,17
10106111,6:21:46,6:22:06,0111VMA,18
10106111,6:23:26,6:23:46,0111AES,19
10106111,6:24:28,6:24:48,0111KRU,20
10106111,6:25:25,6:25:45,0101REE,21
10106111,6:26:17,6:26:37,0101ROR,22
10106111,6:27:03,6:27:23,0101ROK,23
10106111,6:28:30,6:28:50,0111TOE,24
10106111,6:30:10,6:30:30,0101SHR,25
10106111,6:30:51,6:31:11,0111OLS,26
10106111,6:31:44,6:32:04,0101DPB,27
10106111,6:32:44,6:33:04,0111AAR,28
10106111,6:33:20,6:33:40,0101RKJ,29
10106111,6:34:18,6:34:38,0111YSB,30
10106111,6:35:03,6:35:23,0101CAV,31
10106111,6:36:03,6:36:23,0111SAR,32
10106111,6:37:04,6:37:24,0111KEA,33
10106111,6:37:56,6:38:16,0101MUC,34
10106111,6:38:57,6:39:17,0101GOG,35
10106111,6:39:59,6:40:19,0111JEK,36
10106111,6:40:45,6:41:05,0101NTO,37
10106111,6:41:40,6:42:00,0101MCC,38
10106111,6:42:22,6:42:42,0101LSC,39
10106111,6:43:05,6:43:25,0101MIC,40
10106111,6:43:51,6:44:11,0101MDS,41
10106111,6:44:50,6:45:10,0111KIV,42
10106111,6:46:01,6:46:21,0111TRI,43
10106111,6:46:41,6:47:01,0101SHT,44
10106111,6:47:50,6:48:10,0101NJK,45
10106111,6:48:35,6:48:55,0101KAT,46
10106111,6:49:35,6:49:55,0101VRY,47
10106111,6:50:13,6:50:33,0111BAG,48
10106111,6:51:09,6:51:29,0101ZAK,49
10106111,6:51:45,6:52:05,0101LIK,50
10106111,6:52:26,6:52:46,0101MOM,51
10106111,6:53:22,6:53:42,0111SNH,52
10106111,6:53:58,6:54:18,0101MKB,53
10106111,6:54:36,6:54:56,0101KOB,54
10106111,6:55:17,6:55:37,0113BAA,55
10107110,6:00:00,6:00:20,0110KRS,1
10107110,6:01:13,6:01:33,0110REU,2
10107110,6:03:11,6:03:31,0100VDA,3
10107110,6:04:06,6:04:26,0100NDT,4
10107110,6:04:44,6:05:04,0110NGP,5
10107110,6:05:43,6:06:03,0110NSG,6
10107110,6:07:04,6:07:24,0100NKD,7
10107110,6:07:55,6:08:15,0100REE,8
10107110,6:08:40,6:09:00,0100CTC,9
10107110,6:09:44,6:10:04,0100ASD,10
10107110,6:10:28,6:10:48,0110AST,11
10107110,6:11:23,6:11:43,0100RYA,12
10107110,6:12:24,6:12:44,0110CEJ,13
10107110,6:13:46,6:14:06,0110AIG,14
10107110,6:14:43,6:15:03,0100MFB,15
10107110,6:15:35,6:15:55,0100BLD,16
10107110,6:16:24,6:16:44,0100EIE,17
10107110,6:17:23,6:17:43,0110PMT,18
10107110,6:18:44,6:19:04,0100JYL,19
10107110,6:19:57,6:20:17,0100SLG,20
10107110,6:20:34,6:20:54,0100RCN,21
10107110,6:21:22,6:21:42,0100RRD,22
10107110,6:22:08,6:22:28,0100KTC,23
10107110,6:22:52,6:23:12,0100CBR,24
10107110,6:23:39,6:23:59,0100RBJ,25
10107110,6:24:39,6:24:59,0100DPA,26
10107110,6:25:30,6:25:50,0100NSO,27
10107110,6:26:16,6:26:36,0100MRC,28
10107110,6:27:21,6:27:41,0110REV,29
10107110,6:29:05,6:29:25,0110CUT,30
10107110,6:29:54,6:30:14,0100RRP,31
10107110,6:31:05,6:31:25,0100RES,32
10107110,6:32:01,6:32:21,0100RKH,33
10107110,6:34:25,6:34:45,0110VMT,34
10107110,6:35:42,6:36:02,0100RRJ,35
10107110,6:37:45,6:38:05,0110UNA,36
10107110,6:40:22,6:40:42,0110R/B,37
10107110,6:41:58,6:42:18,0110MTS,38
10107110,6:44:31,6:44:51,0100VLU,39
10107110,6:45:19,6:45:39,0100TCP,40
10107110,6:46:10,6:46:30,0110YSP,41
10107110,6:47:08,6:47:28,0110TPA,42
10107110,6:47:51,6:48:11,0110YIL,43
10107110,6:48:52,6:49:12,0110AGK,44
10107110,6:50:16,6:50:36,0110ASP,45
10107110,6:51:20,6:51:40,0100RGH,46
10107110,6:52:18,6:52:38,0110IRT,47
10107110,6:53:26,6:53:46,0100MCO,48
10107110,6:54:51,6:55:11,0800NGR,49
10107110,6:56:41,6:57:01,0212SNT,50
10107111,6:00:00,6:00:20,0212SNT,1
10107111,6:01:59,6:02:19,0811ANG,2
10107111,6:02:57,6:03:17,0101JHS,3
10107111,6:04:13,6:04:33,0101STP,4
10107111,6:04:53,6:05:13,0111SPS,5
10107111,6:05:45,6:06:05,0101WBR,6
10107111,6:06:47,6:07:07,0101AGA,7
10107111,6:07:39,6:07:59,0111OLB,8
10107111,6:09:03,6:09:23,0101CPK,9
10107111,6:10:08,6:10:28,0111RHK,10
10107111,6:12:35,6:12:55,0111AIT,11
10107111,6:14:19,6:14:39,0111BEK,12
10107111,6:16:46,6:17:06,0111TUN,13
10107111,6:18:55,6:19:15,0111RHR,14
10107111,6:20:35,6:20:55,0111VMA,15
10107111,6:22:47,6:23:07,0111KRU,16
10107111,6:23:44,6:24:04,0101REE,17
10107111,6:24:36,6:24:56,0101ROR,18
10107111,6:25:22,6:25:42,0101ROK,19
10107111,6:27:59,6:28:19,0101SHR,20
10107111,6:29:03,6:29:23,0101DPB,21
10107111,6:30:10,6:30:30,0111RST,22
10107111,6:31:05,6:31:25,0101RCK,23
10107111,6:32:00,6:32:20,0101RDC,24
10107111,6:32:44,6:33:04,0101RCC,25
10107111,6:33:29,6:33:49,0111BPY,26
10107111,6:34:21,6:34:41,0101SLT,27
10107111,6:35:02,6:35:22,0111LON,28
10107111,6:36:00,6:36:20,0101PMR,29
10107111,6:36:57,6:37:17,0101PMV,30
10107111,6:37:48,6:38:08,0111MCM,31
10107111,6:39:11,6:39:31,0101KTO,32
10107111,6:40:14,6:40:34,0111IGA,33
10107111,6:41:21,6:41:41,0101GRJ,34
10107111,6:42:24,6:42:44,0101RMY,35
10107111,6:43:18,6:43:38,0111AMB,36
10107111,6:43:59,6:44:19,0101AME,37
