trip_id,start_time,end_time,headway_secs
10106110,06:00:00,09:00:00,300
10106110,09:00:00,15:00:00,900
10106110,15:00:00,21:00:00,300
10106111,06:00:00,09:00:00,300
10106111,09:00:00,15:00:00,900
10106111,15:00:00,21:00:00,300
10107110,06:00:00,09:00:00,300
10107110,09:00:00,15:00:00,900
10107110,15:00:00,21:00:00,300
10107111,06:00:00,09:00:00,300
10107111,09:00:00,15:00:00,900
10107111,15:00:00,21:00:00,300
10108110,06:00:00,09:00:00,300
10108110,09:00:00,15:00:00,900
10108110,15:00:00,21:00:00,300
10108111,06:00:00,09:00:00,300
10108111,09:00:00,15:00:00,900
10108111,15:00:00,21:00:00,300
10114110,06:00:00,09:00:00,300
10114110,09:00:00,15:00:00,900
10114110,15:00:00,21:00:00,300
10114111,06:00:00,09:00:00,300
10114111,09:00:00,15:00:00,900
10114111,15:00:00,21:00:00,300
10116110,06:00:00,09:00:00,300
10116110,09:00:00,15:00:00,900
10116110,15:00:00,21:00:00,300
10116111,06:00:00,09:00:00,300
10116111,09:00:00,15:00:00,900
10116111,15:00:00,21:00:00,300
1011A110,06:00:00,09:00:00,300
1011A110,09:00:00,15:00:00,900
1011A110,15:00:00,21:00:00,300
1011A111,06:00:00,09:00:00,300
1011A111,09:00:00,15:00:00,900
1011A111,15:00:00,21:00:00,300
1011F110,06:00:00,09:00:00,300
1011F110,09:00:00,15:00:00,900
1011F110,15:00:00,21:00:00,300
1011F111,06:00:00,09:00:00,300
1011F111,09:00:00,15:00:00,900
1011F111,15:00:00,21:00:00,300
1107D110,06:00:00,09:00:00,300
1107D110,09:00:00,15:00:00,900
1107D110,15:00:00,21:00:00,300
1107D111,06:00:00,09:00:00,300
1107D111,09:00:00,15:00:00,900
1107D111,15:00:00,21:00:00,300
20000720,06:00:00,09:00:00,300
20000720,09:00:00,15:00:00,900
20000720,15:00:00,21:00:00,300
20000721,06:00:00,09:00:00,300
20000721,09:00:00,15:00:00,900
20000721,15:00:00,21:00:00,300
20006110,06:00:00,09:00:00,300
20006110,09:00:00,15:00:00,900
20006110,15:00:00,21:00:00,300
20006111,06:00:00,09:00:00,300
20006111,09:00:00,15:00:00,900
20006111,15:00:00,21:00:00,300
20023110,06:00:00,09:00:00,300
20023110,09:00:00,15:00:00,900
20023110,15:00:00,21:00:00,300
20023111,06:00:00,09:00:00,300
20023111,09:00:00,15:00:00,900
20023111,15:00:00,21:00:00,300
20025110,06:00:00,09:00:00,300
20025110,09:00:00,15:00:00,900
20025110,15:00:00,21:00:00,300
20025111,06:00:00,09:00:00,300
20025111,09:00:00,15:00:00,900
20025111,15:00:00,21:00:00,300
20042110,06:00:00,09:00:00,300
20042110,09:00:00,15:00:00,900
20042110,15:00:00,21:00:00,300
20042111,06:00:00,09:00:00,300
20042111,09:00:00,15:00:00,900
20042111,15:00:00,21:00:00,300
20043110,06:00:00,09:00:00,300
20043110,09:00:00,15:00:00,900
20043110,15:00:00,21:00:00,300
20043111,06:00:00,09:00:00,300
20043111,09:00:00,15:00:00,900
20043111,15:00:00,21:00:00,300
20044110,06:00:00,09:00:00,300
20044110,09:00:00,15:00:00,900
20044110,15:00:00,21:00:00,300
20044111,06:00:00,09:00:00,300
20044111,09:00:00,15:00:00,900
20044111,15:00:00,21:00:00,300
20044120,06:00:00,09:00:00,300
20044120,09:00:00,15:00:00,900
20044120,15:00:00,21:00:00,300
20044121,06:00:00,09:00:00,300
20044121,09:00:00,15:00:00,900
20044121,15:00:00,21:00:00,300
20044210,06:00:00,09:00:00,300
20044210,09:00:00,15:00:00,900
20044210,15:00:00,21:00:00,300
20044211,06:00:00,09:00:00,300
20044211,09:00:00,15:00:00,900
20044211,15:00:00,21:00:00,300
20045110,06:00:00,09:00:00,300
20045110,09:00:00,15:00:00,900
20045110,15:00:00,21:00:00,300
20045111,06:00:00,09:00:00,300
20045111,09:00:00,15:00:00,900
20045111,15:00:00,21:00:00,300
20045120,06:00:00,09:00:00,300
20045120,09:00:00,15:00:00,900
20045120,15:00:00,21:00:00,300
20045121,06:00:00,09:00:00,300
20045121,09:00:00,15:00:00,900
20045121,15:00:00,21:00:00,300
20045130,06:00:00,09:00:00,300
20045130,09:00:00,15:00:00,900
20045130,15:00:00,21:00:00,300
20045131,06:00:00,09:00:00,300
20045131,09:00:00,15:00:00,900
20045131,15:00:00,21:00:00,300
20049110,06:00:00,09:00:00,300
20049110,09:00:00,15:00:00,900
20049110,15:00:00,21:00:00,300
20049111,06:00:00,09:00:00,300
20049111,09:00:00,15:00:00,900
20049111,15:00:00,21:00:00,300
20053110,06:00:00,09:00:00,300
20053110,09:00:00,15:00:00,900
20053110,15:00:00,21:00:00,300
20053111,06:00:00,09:00:00,300
20053111,09:00:00,15:00:00,900
20053111,15:00:00,21:00:00,300
20100110,06:00:00,09:00:00,300
20100110,09:00:00,15:00:00,900
20100110,15:00:00,21:00:00,300
20100111,06:00:00,09:00:00,300
20100111,09:00:00,15:00:00,900
20100111,15:00:00,21:00:00,300
20120110,06:00:00,09:00:00,300
20120110,09:00:00,15:00:00,900
20120110,15:00:00,21:00:00,300
20120111,06:00:00,09:00:00,300
