stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
heavy.waltzed.crowned,Luzira Stage,,0.30194,32.64691,,,
glare.slid.headboard,Pentecostal World Mission,,0.32992,32.67424,,,
tutored.laminate.chum,Kituuka Rd - Kirenya Bukasa Rd,,0.33125,32.67324,,,
brass.forum.releasing,Portbell Rd - Solent Ave Jct,,0.31923,32.62582,,,
glides.elevates.resolved,Kobil (Bugolobi),,0.31801,32.62884,,,
aviators.responds.pickup,Mutungo,,0.32194,32.64249,,,
warnings.hubcaps.motivations,Upnext Kindergarten And Daycare,,0.31303,32.65141,,,
hurtles.dumps.fittingly,Bugolobi Junction,,0.3198,32.62457,,,
defaults.molars.pumpkin,Hillstone Primary School,,0.32635,32.62353,,,
scorecard.benched.reflect,Republic of Uganda Magistrates Court,,0.32862,32.62216,,,
bunks.genetics.scorching,Silver Springs Hotel,,0.31861,32.62718,,,
accordion.bump.drop,Mutungo Fueling (Old Butabika Rd),,0.32051,32.64534,,,
officers.songbird.script,Uganda Water And Sanitation Network,,0.3095,32.65685,,,
machinery.tripods.snails,St. Anne Catholic Church,,0.30931,32.63895,,,
rating.reshaping.hatch,Kitintale Presbyterian,,0.3107,32.6377,,,
rooms.hack.tinny,Supermarket (Old Butabika Rd),,0.32136,32.63769,,,
grinders.templates.discussed,Kunya,,0.32122,32.63549,,,
engulfing.craftsmen.crackles,Good Price Supermarket,,0.31614,32.65033,,,
pounces.packages.stoppage,Biina Kyembe,,0.30983,32.65312,,,
subtitle.nurtures.closet,Greenland House,,0.35757,32.56249,,,
episode.detergent.cassettes,Makarere Kikoni Stage,,0.34293,32.56067,,,
charmingly.series.oils,Panikol International Hostel - Bwaise,,0.33976,32.56319,,,
amaze.seat.prowl,Holy Temple of God,,0.34685,32.56292,,,
footpath.likely.spectacle,DFCU Bank (Kawempe Branch),,0.36266,32.56106,,,
redeeming.chitchat.axed,Bwaise Steel And Tube Industries,,0.35607,32.56274,,,
dilute.originate.customers,Shell Petrol Station (Bwaise),,0.35493,32.56278,,,
mixes.balancing.stopwatch,Finca,,0.35909,32.5622,,,
ties.skinny.booms,Glory of Christ Church,,0.33715,32.55539,,,
bells.pizza.bookshelf,Bwaise Stage - Eastbound,,0.34935,32.56381,,,
mystified.tapes.younger,Bwaise Stage - Southbound,,0.34899,32.56332,,,
expensive.watching.spine,Bwaise Stage - Eastbound,,0.34993,32.56358,,,
variously.sedated.uppermost,Kikoni Police Post,,0.34574,32.56296,,,
processes.prove.exit,Best Price Supermarket,,0.33428,32.55585,,,
obviously.knees.roofed,Kawala Health Centre,,0.34069,32.55419,,,
doubt.expectant.straw,Makarere Kikoni Stage,,0.33488,32.56221,,,
dock.tonic.chap,Kazo Church of Uganda,,0.3529,32.55278,,,
truly.safest.parsnips,Rhema Life Ministries,,0.35215,32.55784,,,
resides.viewer.promises,Bwaise - Bombo Rd,,0.35359,32.56274,,,
slugs.glove.trains,Kawaala Junction,,0.35226,32.55396,,,
procured.competent.prestige,Alice Kaggwa Rd,,0.3546,32.57029,,,
spaces.hockey.melts,Katuba,,0.36206,32.54556,,,
think.supreme.conductor,Eden Service Park,,0.35247,32.5591,,,
payer.trespass.chatted,Benzina Petrol Station (Kawempe),,0.37858,32.55753,,,
empire.suffice.majors,Bam Supermarket - Bwaise,,0.35264,32.56053,,,
dumps.meals.plots,Holy Family Nursery School,,0.36148,32.56144,,,
wishes.quitter.subjects,Kawempe Police Station,,0.36031,32.56197,,,
wolves.export.snored,Dott Services,,0.36392,32.56073,,,
fees.workroom.boomer,Nabweru Kazo Sacco Post,,0.35428,32.55071,,,
guard.exposing.vintages,Tuskys - Bwaise,,0.35108,32.56277,,,
tramps.relishes.gagging,Bwaise Stage - Eastbound,,0.34998,32.56444,,,
barn.plod.archives,Kiyembe,,0.36907,32.54418,,,
consoled.discount.regress,Maganijo Mosque Rd - Kazo Central Zone Rd Jct,,0.3653,32.54482,,,
motion.gentle.bleaching,Bank of Baroda (Kawempe Branch),,0.37414,32.55688,,,
agreement.niece.scatter,Noor Supermarket,,0.37224,32.5576,,,
confident.prancing.darker,Ronna Guest House,,0.38007,32.54202,,,
tram.sinkhole.wanting,Katooke Market,,0.37642,32.54282,,,
swooning.trading.grounding,Nabweru,,0.3592,32.54707,,,
doll.household.acting,General Medical Workshop (Tula Road),,0.3812,32.56476,,,
head.spellings.boxing,Kalahari Motel,,0.37056,32.55827,,,
morphing.tripled.opposing,Summit Medical Centre,,0.36918,32.55876,,,
intelligible.column.hobbit,Veterans Fc,,0.35494,32.55006,,,
listening.carefully.lifetimes,Kafunda,,0.35375,32.5514,,,
fillings.angry.giants,Riham Industry Limited,,0.3774,32.55742,,,
swims.jumped.reconnect,Uganda Klere Industries,,0.37547,32.55669,,,
titles.puffed.solar,Tick Hotel,,0.36716,32.55963,,,
scooter.backyards.calculating,Namutebi Nkata Nursery And Primary School,,0.36533,32.56035,,,
doses.wider.warns,Mukono Health Centre,,0.36065,32.74645,,,
panting.weeps.backers,Mukono Police Station,,0.36219,32.74468,,,
headsets.curable.awkward,Porter' House Nursery School,,0.36873,32.56929,,,
chase.submerge.galloping,Rema Nabuma (Kawempe),,0.36555,32.56955,,,
treaties.branching.clap,Namanve,,0.35499,32.6788,,,
leaky.dishing.readings,Oil Com Petrol Station (Namanve),,0.3596,32.69098,,,
ramps.sorry.props,Total Mukono,,0.36528,32.7415,,,
catapult.frightens.senses,Hass Mukono,,0.36746,32.73916,,,
soft.exists.craftsmen,Taibah High School,,0.36023,32.5699,,,
twee.appeal.swelling,Mambule Rd - Tula Rd Jct,,0.35336,32.56868,,,
packets.rashers.lawns,Lugoba Stage,,0.37365,32.54327,,,
ferrets.threading.mass,Trust Future,,0.36736,32.54446,,,
mirroring.awakes.secrets,Lulumba High School Polling Station,,0.37729,32.56652,,,
respond.useful.scrub,Kawempe Mbogo,,0.37118,32.56885,,,
savings.certainly.womb,Global Primary School,,0.357,32.56969,,,
iceberg.builds.twitching,Eden Guest House,,0.35601,32.56946,,,
greet.flask.assure,Total (Ggaba Road),,0.30328,32.58632,,,
movie.flippers.modem,Agat Oil (Nsangi),,0.27424,32.46029,,,
indicates.occur.seasick,Namagoma,,0.27885,32.46996,,,
medium.heartburn.cashier,Nsangi (Masaka Rd),,0.27821,32.45846,,,
wreck.walks.pranced,Sharing Youth Centre,,0.30433,32.58466,,,
radar.loud.tangent,Kasaawe Police Post - Hared Petrol Station,,0.30492,32.5842,,,
verdict.lease.amaze,Bulenga General Market (Chairman Rd),,0.32049,32.50583,,,
cards.cured.eagles,Railway - Clock Tower,,0.30699,32.58314,,,
digesting.tonal.indicated,Nabbingo,,0.27861,32.47828,,,
reclined.grandest.flies,Busega Preparatory School,,0.30611,32.51577,,,
circus.amicably.quite,Petrocity,,0.3052,32.51968,,,
eggs.noun.strapping,Busega Market - A109,,0.30801,32.516,,,
earplug.chemists.trusts,Oilcom (Nsangi),,0.28219,32.45676,,,
delved.threaded.ventures,Palace Garden - Nabbingo,,0.27908,32.48156,,,
hippy.flick.weep,Kyengera (Masaka Rd),,0.2869,32.49669,,,
headset.opposites.rejects,Avemar Supermarket - Gaz Petrol Station,,0.27855,32.47454,,,
prep.trinkets.poems,Western Gate Makerere,,0.33481,32.56384,,,
anyone.spider.irritate,Bulenga Seguya,,0.31946,32.50738,,,
trudges.mornings.void,Africa Supermarket (Bulenga),,0.32215,32.50401,,,
scary.tomorrow.plankton,Bulenga Musoke,,0.32582,32.50152,,,
employers.pint.sharpen,Dfcu (Sir Apollo Kagwa Rd),,0.34164,32.56311,,,
traded.agent.glance,Caltec Academy,,0.33446,32.56238,,,
juggled.bogus.lottery,Baskon Hostel,,0.33421,32.56396,,,
petulant.lawful.sprain,Divine Mercy Supermarket,,0.33592,32.56363,,,
skewing.executive.downward,Mityana Rd - Road Stoll (Bulenga),,0.31622,32.5119,,,
springing.dormant.stack,Juko Rd,,0.29434,32.57557,,,
whisker.gazes.polishing,Kibuye Parents School,,0.29582,32.57785,,,
icebergs.wants.goofy,Keviina,,0.3002,32.58117,,,
broom.shelved.apprehend,Africa Gas Station (Bulenga),,0.32465,32.50285,,,
overlooks.unscrew.caps,Busega Market - A109,,0.308,32.51589,,,
trending.caked.saucepan,Busega Market (Masaka Rd),,0.30647,32.51715,,,
decide.producers.cobbles,Bulenga Market,,0.31921,32.5101,,,
lungs.laces.webcams,Douglas Villa Hostel,,0.33645,32.56164,,,
layers.exacts.mainframe,UCF Kikoni,,0.33233,32.56433,,,
promoting.trickling.clay,Small Gate Makerere,,0.33541,32.56372,,,
butterfly.started.cheered,Pintos & Nalika Hostels,,0.33334,32.56282,,,
colleague.sheepish.tracking,J-frigh Hotel Post,,0.34137,32.56081,,,
perkily.depending.ruling,New Chapter Junior School,,0.3388,32.54689,,,
staging.digits.regulates,Namungoona Salaf Nursery,,0.33798,32.54732,,,
peanut.exclaim.growl,Hello Darling Restaurant,,0.3382,32.56124,,,
excavated.picturing.helpless,St. Paul's Sub-parish,,0.30324,32.58041,,,
access.nightcap.saddens,Shell 2 (Sir Apollo Kagwa Rd),,0.33858,32.56327,,,
watching.playful.realm,Nicodemus Pork Joint,,0.33714,32.56341,,,
unsightly.spend.grad,Mbi,,0.3427,32.56306,,,
uniforms.demanding.gloves,Sharks Hostel,,0.33216,32.56359,,,
milkman.insurance.soil,Vision of God Church Ministry,,0.30274,32.58163,,,
unites.digesting.maker,Juko Rd - Ave Maria Rd Jct,,0.29856,32.57994,,,
adopters.asking.backpack,Kins Medical Centre - Bawalakata,,0.33655,32.54807,,,
dressings.searching.baked,Total Petro Station - Bwaise,,0.34803,32.56286,,,
curbed.customers.playfully,Wangi Market (Kasubi),,0.33325,32.55006,,,
lions.remote.bulletins,Petro City Namugoona,,0.33296,32.55173,,,
foil.assurance.suppers,Total Namugoona,,0.33548,32.54851,,,
vision.factually.popping,Bwaise Stage - Westbound,,0.34973,32.5621,,,
nerd.kept.nibbled,Umeme Bwaise,,0.34803,32.56498,,,
envisage.mull.flickers,Advanced Junior School,,0.34756,32.56612,,,
ordinary.rosier.banquets,Bwaise Stage - Westbound,,0.34916,32.56154,,,
slanting.apparatus.grasp,Cheap General Hardware,,0.33267,32.55468,,,
intensely.producing.readings,Sekajja's Jet Car Wash,,0.34053,32.56092,,,
scrubber.reverted.unicorns,Off Shore Hostel,,0.33924,32.56114,,,
enlarge.ordeals.electric,Kawala,,0.34299,32.55371,,,
tarred.dragons.brambles,Laisi Workshop,,0.33401,32.5492,,,
billiard.daffodils.germinate,Parklane Hostel,,0.34361,32.56304,,,
talked.mooring.grounding,Frama Hostel,,0.3409,32.56315,,,
mats.format.presenter,Kobil Kasubi (Hoima Rd),,0.33282,32.55312,,,
unstable.pacemaker.reclined,Kibiri,,0.23465,32.59408,,,
palms.data.finalists,Ndeeba (Weraga Rd),,0.29063,32.56336,,,
hung.gurgled.speeded,Kabowa (Weraga Rd),,0.28392,32.56311,,,
thatched.inflates.shuts,Bussabala Rd - River,,0.25645,32.58992,,,
safari.ivory.disarmed,Medecins Sans Frontieres,,0.3006,32.59,,,
asterisk.consented.breezy,Nsambyua - Gogonya,,0.29751,32.5952,,,
distracts.recoup.hypnotist,Muhumuza Medical Centre,,0.29176,32.58582,,,
zoos.segmented.searching,Stormchild Bar (Suna Rd),,0.27023,32.55689,,,
trains.roving.massaging,Movit Products (Suna Rd),,0.2675,32.55741,,,
saunas.binder.bypassed,Mosquito Net Village Ltd,,0.26523,32.55636,,,
viewers.ulterior.household,Zana,,0.26303,32.55624,,,
agree.affords.importing,Warega Rd - Gabunga Rd Jct,,0.27926,32.56028,,,
honeybees.conveys.stable,Theresa House (Gabunga Rd),,0.27405,32.56304,,,
recorders.snatched.structure,Kabowa Nyanama Rd,,0.27353,32.56017,,,
uppermost.unspoiled.dial,Petro Fuel Station (Nyanama Rd),,0.2726,32.55556,,,
arching.moving.detriment,Nyondo Club (Najjanankumbi),,0.28007,32.56365,,,
toned.shortcuts.originate,Executive House,,0.28065,32.56202,,,
pleasing.flipping.earphones,Mirembe Primary School,,0.28633,32.56242,,,
titles.ankle.year,Ndeeba Primary School,,0.29184,32.56374,,,
eggplants.watches.stylist,Standard High School Zana,,0.26117,32.55826,,,
still.surpasses.launch,Uganda Martyrs University,,0.29844,32.58778,,,
trend.stuck.merely,Hospital Africa Uganda,,0.283091031305315,32.5837077838442,,,
face.converged.successes,Luwafu Rd,,0.27415,32.58759,,,
collides.shakes.menu,American Embassy,,0.29941,32.59201,,,
fearfully.lavender.truly,American Embassy - Cavendish University,,0.30092,32.59242,,,
frames.postcard.plantings,Petro Station (Ggaba Road),,0.29978,32.59536,,,
protest.sparrows.salaried,Kireka Park (Namugongo Rd),,0.34952,32.65147,,,
cadet.reconnect.completed,Kabalagala,,0.2981,32.59963,,,
villager.composer.commenced,Nsambya Police Barracks - St. Peter's Primary School,,0.30173,32.59038,,,
outlawing.gymnasium.bothered,Dfcu Bank (Ggaba Road),,0.30044,32.59363,,,
scariest.crockery.blows,Central View Hotel - Kasasiro,,0.30267,32.58797,,,
done.boomer.typically,Ns Ambya Hospital - St. Peters School,,0.30081,32.58787,,,
flows.masses.lure,Petro City - Centenary Bank (Mobutu Rd),,0.28871,32.57774,,,
stroke.hourglass.dabbing,Nsambya Pentecostal Church,,0.29377509271374,32.5864299093673,,,
decompose.lure.roost,Mubaraka,,0.29,32.58236,,,
loafing.hawks.begins,Embassy Plaza,,0.29905,32.59722,,,
securing.bullion.rooftop,Reach Out Primary School,,0.24632,32.62783,,,
spines.cake.shatters,Ggaba Rd 1,,0.2568,32.62993,,,
apes.eyelid.tags,Wavamuno Stage - Ggaba Rd,,0.258,32.62832,,,
teaspoons.smothered.spouse,Royal College Makindye,,0.28191,32.58459,,,
beats.crockery.encodes,Winyi Primary School,,0.28824,32.57636,,,
tapes.cashiers.breathing,Luwafu Stage,,0.27029,32.59337,,,
react.farms.indicates,Makindye Military Police Barracks,,0.28762,32.57898,,,
estate.horizons.flickers,Hanlon Rd - Kiggundu Rd Jct,,0.29513,32.5868,,,
moved.nicely.variety,Kabalagala - Kings Gate Mall,,0.29846,32.59872,,,
tragedy.national.frown,Makindye Mother Care Primary School,,0.28906,32.58499,,,
storybook.example.paying,Hanlon Rd - Musoke Lane Jct,,0.29595,32.58706,,,
siesta.vessel.decks,New Life Time Primary School,,0.27832,32.584,,,
honest.reinforce.appraised,Mukitoogo (Yengera),,0.30337,32.51273,,,
stone.perch.ports,Wavamuno Rd (Munyonyo),,0.24353,32.62781,,,
crusted.highly.tins,Reggies's Grocery,,0.25163,32.62628,,,
skewed.worldwide.polishing,Wavamuno Stage - Wavamuno Rd,,0.25767,32.62791,,,
succumbs.footsteps.extremely,Busega (Masaka Rd),,0.30417,32.52193,,,
economics.limits.memory,Busega Stage - Mityana Rd,,0.31251,32.51372,,,
hasten.contacts.indicated,Busega Stage,,0.31083,32.51602,,,
respond.frown.lied,Hass Fuel Station (Masaka Rd),,0.30262,32.5255,,,
digitally.alike.miracles,Enlympo,,0.25827,32.60352,,,
tomb.flamed.boast,Votex Restaurant,,0.25644,32.60504,,,
pads.dentistry.spearhead,Lwaasa,,0.2528,32.60687,,,
butlers.armful.squaring,Ggaba,,0.2557,32.63483,,,
alone.mooring.unafraid,Kcca Makindye Headquarters,,0.28603146921268,32.5808060087414,,,
cages.afternoon.pets,Kibuye Primary School,,0.2844,32.58273,,,
germinating.implemented.flail,Abayita Ababiri - Mpala - Baita,,0.09223,32.49864,,,
samplers.notifying.humid,Dallas Shoppers - T&T Supermarket,,0.26143,32.59981,,,
croutons.trees.jigging,Spedag Namugongo,,0.38488,32.64455,,,
partner.braked.scooters,Comboni Missionaries Namugongo,,0.38266,32.64558,,,
cheerily.brotherly.breath,Kyaliwajala Kira Rd - Mwesiga Rd Jct,,0.38864,32.64282,,,
inhaled.increment.send,Kutetenkanya Fuel Station - Bombo Rd,,0.44806,32.53119,,,
blinks.polka.defectors,Katalemwa Entrance - Bombo Rd,,0.44486,32.52899,,,
texted.shallower.frizz,Katalemwa Entrance B - Bombo Rd,,0.44332,32.52844,,,
curated.bypasses.trio,Culture Supermarket,,0.39448,32.63292,,,
jumped.twitches.trying,Bright Touch Investments,,0.39598,32.63637,,,
gravitate.vote.digests,Cock N Bull Bar (Kyebando),,0.35789,32.57363,,,
piston.coffee.abundance,Nwsc Kyaliwajala Branch,,0.38658,32.64375,,,
migrate.mornings.ulterior,Kira,,0.39689,32.63834,,,
awakening.birdcage.yield,Church Namugongo Rd,,0.39558,32.6396,,,
stunt.typed.chucks,Kyaza Guesthouse,,0.45436,32.53265,,,
afterglow.diggers.factor,Fair View Gardens,,0.45328,32.53303,,,
prospers.path.desks,Gulu Kampala Rd - Kabunza Drive,,0.45158,32.53343,,,
unkindness.brightest.billboards,Matugga Stage,,0.46517,32.52211,,,
fingernails.bends.gravy,Renark Pharmacy,,0.37268,32.64934,,,
shovels.untrained.withdraws,Pearl Supermarket,,0.37558,32.64905,,,
copying.attention.slimming,Cornerstone Shoppers (Kyaliwajala),,0.37831,32.6478,,,
petite.kooks.humbles,D Motel,,0.46324,32.52516,,,
jolt.holidays.woodstove,The Green Elephant,,0.44038,32.52902,,,
reinvest.publish.voices,Watuba Rd - Bombo Rd,,0.43382,32.53424,,,
cleans.props.centuries,SGS Kawanda Inspection Station A,,0.43191,32.5345,,,
rivals.tree.relaxed,Gasline Petrol Station - Bombo Rd,,0.44948,32.53259,,,
reclusive.centurion.trekking,Kobil - Gulu Kampala Rd,,0.4604,32.52839,,,
pentagon.crossbars.sloth,Matugga Mosque,,0.46028,32.52879,,,
type.harmonica.forms,Oil Libya - Gulu Kampala Rd,,0.4577,32.53045,,,
durations.snowstorm.rummage,Watubba Health Centre III,,0.43679,32.53131,,,
shine.ogre.entitle,Uganda National Bureau of Standards Post,,0.36466,32.64827,,,
occur.cocoons.braced,Agenda,,0.36618,32.64845,,,
tuned.retina.inclines,Wonderland Supermarket,,0.37428,32.64933,,,
pickup.kitchen.promising,Kyaliwajala,,0.3802,32.64672,,,
standards.posts.fault,Naalya Rd - Kira Lane Jct,,0.36539,32.63767,,,
snipped.splinters.purified,Naalya Estate Entrance,,0.36432,32.63617,,,
magma.crumples.corals,Quality Supermarket,,0.37533,32.64379,,,
deleting.cluttered.limbs,U.n.a. of The Blind,,0.36,32.64765,,,
flushed.elated.curly,God's Glory Hardware,,0.35324,32.64483,,,
stocked.fortress.overjoyed,St. Gonzaga Gonza Catholic Primary School,,0.35469,32.64648,,,
host.went.undivided,Nelvin Hardware,,0.36967,32.64919,,,
parading.recount.years,Super Oil Fuel Station (Namugongo Rd),,0.35826,32.64876,,,
staging.twinge.vowel,Namugongo Rd,,0.35618,32.65005,,,
talking.precluded.plotting,As Fuel Station - Shine Auto Jet Washing Bay,,0.36254,32.64772,,,
mammals.contained.mattress,His Grace Supermarket,,0.37697,32.64853,,,
shrimp.shocked.rewriting,Naalya Rd,,0.36374,32.62789,,,
speakers.flaunting.nooks,Cynibel Supermarket,,0.36379,32.62606,,,
sparkle.overheat.travels,Naalya Rd - Kaggwa Rd Jct,,0.36355,32.63135,,,
tester.northward.meatballs,Delta Fuel Station (Ntinda),,0.35919,32.61721,,,
rewarding.tearfully.loft,Suna Rd - Nfufu Rd Jct,,0.25672,32.56058,,,
resides.withdraws.cultivation,Club Ceders,,0.25952,32.55918,,,
stolen.prune.prefer,Modern Kindergarten,,0.2762,32.56189,,,
bloomers.sing.caves,Kigoowa,,0.35994,32.60946,,,
dummy.impressed.stockpile,Mutaka Plaza,,0.37905,32.64564,,,
tribe.whirlwind.swung,Vienna College,,0.3781,32.64513,,,
sprayed.outbursts.defended,Naalya Rd - Nade Road Jct,,0.36387,32.62977,,,
spenders.hurt.reclining,Uganda Clay,,0.3632,32.60649,,,
poet.bins.streetcar,Ndere Cultural Centre,,0.36469,32.60533,,,
clusters.confused.grafted,Sayuuni Complex (Ntinda),,0.35828,32.61094,,,
pylons.splinters.magically,St. Peter's Seniro Secondary School Naalya,,0.36808,32.64026,,,
available.acre.wedding,Lubowa Police Station,,0.24384,32.55728,,,
blunders.avid.guises,Seguku Market,,0.23752,32.55465,,,
digitally.interlude.exist,Mogas Seguku,,0.24079,32.55599,,,
busters.lordship.wiped,Mildmay Health Centre,,0.22668,32.54907,,,
jolly.flick.into,Good Health Medical Centre (Bussabala Rd),,0.27089,32.57845,,,
paddocks.sizing.deluded,Mk Clinic - Najja Nankumbi,,0.27589,32.56532,,,
legs.prevents.shepherds,Gango,,0.249,32.59216,,,
unzipped.enchanted.phantom,Kitoro Taxi Park - Entebbe,,0.05554,32.46166,,,
signature.amuses.tilt,Busabala Stage,,0.22178,32.60498,,,
waking.wicked.deciding,Bussabala Rd,,0.27611,32.57533,,,
cheerily.rosier.insurance,St. Paul Church - Masajja Dental Clinic,,0.2662,32.58364,,,
elbowed.realms.dwell,Namulanda - Kawuku,,0.13969,32.54007,,,
curly.lamps.unhappily,Lweza Estate,,0.22165,32.54641,,,
twirling.clearance.cherishing,Kisubi,,0.12184,32.52929,,,
ascribes.lastly.classified,Nkumba University,,0.10021,32.5076,,,
flaunting.paving.metro,Busabala Stage,,0.22103,32.60496,,,
valuables.stubble.ratio,Busabala Rd,,0.28169,32.57121,,,
probably.dabbling.pancakes,Little Pony Primary School,,0.26375,32.58578,,,
chip.videos.disprove,Jordan Medical Centre,,0.24378,32.59371,,,
twitching.policy.roughness,Full Gospel Church - Zana Sign Post,,0.24719,32.55878,,,
eventful.regulator.avid,Millenium Hotel (Lubowa-entebbe Rd),,0.25632,32.56474,,,
condense.fish.hiker,New African Child Primary School,,0.28648,32.57129,,,
locals.cakewalk.whisker,Total Petrol Station (Namasumba),,0.26841,32.56606,,,
dancer.hypnotist.sharpens,Namasole Rd - Busabala Rd Jct,,0.28616,32.57034,,,
take.deferring.draw,Hotel Explorer - Buganda Land Board Junction,,0.26015,32.56583,,,
rods.unlocking.basher,Najjanankumbi - Zabba Supermarket,,0.27869,32.56596,,,
processes.widest.aimless,Total Petrol Station (Namasumba),,0.2684,32.56616,,,
rotations.thigh.handbag,Jika Medical Centre (Bussabala Rd),,0.27914,32.57316,,,
modem.inflation.rams,Zana Stage,,0.25198,32.56193,,,
flaunting.galaxy.fingertip,One Love Beach Stage,,0.21262,32.61595,,,
informs.strongman.steepest,SEMA Shopping Center - Busabala Rd,,0.21598,32.61396,,,
brief.rectangular.reversed,Batabata - Bata Zana,,0.26326,32.56647,,,
crop.comply.issues,Namasuba Sign Post,,0.27209,32.5654,,,
connector.edges.without,Najjanankumbi - Zabba Supermarket,,0.278701666666667,32.5658483333333,,,
officials.motivator.abacus,Hotel Explorer - Buganda Land Board Junction,,0.26016,32.56571,,,
vouch.developed.appendix,Freedom City Shopping Centre,,0.27383,32.56517,,,
live.tests.voltages,Ulga (Najjanankumbi),,0.28534,32.5684,,,
thinks.station.firepower,Seeta,,0.36881,32.71341,,,
surging.bordering.lobbed,Mukono Church of Uganda Hospital,,0.35907,32.74961,,,
flamenco.ketchup.instincts,Mk Clinic - Najja Nankumbi,,0.275888333333333,32.5652316666667,,,
eventful.discrepancy.helpfully,Buloba Stage,,0.3202,32.4417,,,
kicked.successes.tolerates,Stabex International - Buloba,,0.32701,32.46981,,,
trickling.paintings.wiggles,Total Buloba,,0.32727,32.46842,,,
overpower.lasts.marked,Batabata - Bata Zana,,0.26317,32.56634,,,
only.snacking.corals,Millenium Hotel (Lubowa-entebbe Rd),,0.256326666666667,32.5648266666667,,,
slippery.curable.captions,Freedom City Shopping Centre,,0.27383,32.56511,,,
grudges.taller.regulates,Namasuba Sign Post,,0.27211,32.56549,,,
ramps.plates.case,Buloba Secondary School,,0.32485,32.45833,,,
aced.thigh.spite,Super Oil (Najjanankumbi),,0.282833333333333,32.5672733333333,,,
smallest.lamenting.pranced,Super Oil (Najjanankumbi),,0.28291,32.56721,,,
intention.plantings.office,Stella - Najjanankumbi,,0.28111,32.56654,,,
passenger.flood.heckler,Kumuwenda,,0.33292,32.49072,,,
swaps.yawned.surprised,Kyaliwajala Police,,0.39317,32.64072,,,
resonates.uproot.studio,Prime Oil Fuel Station,,0.39079,32.64182,,,
broadens.hires.curly,Mugabi Primary School,,0.39516,32.63457,,,
grub.eyeful.lifts,Stella - Najjanankumbi,,0.28123,32.56648,,,
value.navigate.permanent,Rwenzori Bottling Co.,,0.36222,32.69611,,,
passing.amounting.overheat,Seeta Victory Church,,0.36692,32.7069,,,
narrating.dabbling.simmer,Red Pepper Publications,,0.36331,32.69824,,,
national.series.nourished,Shell (Najjanankumbi),,0.28663,32.56898,,,
parsnip.rejoins.elsewhere,Seventhday Adventist Church - Buloba,,0.33106,32.48072,,,
other.whirlpool.circling,Ulga (Najjanankumbi),,0.28539,32.56833,,,
thudding.trembles.curiosity,Shell (Najjanankumbi),,0.28664,32.568895,,,
cans.cling.incisions,Jomayi Stone Yard,,0.36434,32.70022,,,
poker.unlimited.envy,T And T Supermarket,,0.26037,32.60117,,,
spike.springing.gathers,Kanisa Rd,,0.25897,32.60285,,,
easels.decades.drooling,St. Ponsiano Primary School,,0.25525,32.6056,,,
converged.recall.kept,Fusion Bar And Spar,,0.2559,32.62637,,,
bands.birds.worthy,Kampala International University Main Gate,,0.29488,32.60516,,,
sailor.blank.goofy,Bunga-kauku,,0.26593,32.62454,,,
dome.animates.sandbags,Kobil Kampala International University,,0.29076,32.60601,,,
redefined.sweetener.gloves,Mild Care Parents School Munyonyo,,0.245497003084828,32.6141862452442,,,
whisker.rested.segmented,Muyenga- Kingfisher British Preschool,,0.28706,32.62512,,,
however.debt.bagpipes,Burkesa Police Post,,0.28829,32.62213,,,
honest.masts.gratitude,Baka Close,,0.29634,32.6116,,,
crossings.trending.lifetimes,Parents' Pride School,,0.24994,32.6092,,,
angers.upstarts.plankton,Gaz Munyonyo,,0.24827,32.6264,,,
sketching.float.bugs,Munyonyo Commonwealth Resort,,0.24067,32.62527,,,
wicket.producing.washed,Sembuya Steel Ltd,,0.26663,32.59217,,,
relief.pose.importers,Kcca Mirember Primary School,,0.26533,32.59493,,,
poorly.dwarves.bath,Tools & Machinery House - Kabalagala Police Station,,0.29708,32.6045,,,
fruits.strike.similar,Centenary Bank,,0.29615,32.60493,,,
refer.branched.scuba,K.I.U. Hostels,,0.29328,32.6055,,,
windmills.hack.spring,Agape Miracle Centre Church,,0.25429,32.60604,,,
nightlife.juicy.dormant,Makanga,,0.28437,32.60903,,,
drilled.outdoor.dentistry,Gospel Light,,0.28229,32.61113,,,
clouding.reinforce.loss,Bunga Kansanga Swamp,,0.28054,32.61232,,,
fortunes.dried.titles,Zara Internet Cafe - Kansanga,,0.28824,32.60682,,,
scratches.president.willpower,Hotel Diplomate,,0.29815,32.60987,,,
welcome.brighter.refills,Junction With Njuki Rd,,0.29509,32.61325,,,
daffodils.snoring.tribe,Tiny Tots Daycare,,0.27493,32.61611,,,
clutter.snowy.crossings,Bulikiro Close - Muyenga,,0.29164,32.62112,,,
forgives.swimsuits.condense,Shammah Kindergarten,,0.25188,32.60741,,,
combos.hypocrite.beanbag,Muwonge And Sons Shop,,0.24874,32.61091,,,
noticing.rebel.trickster,National Water (Salaama Branch),,0.26399,32.59713,,,
sifts.contrived.wink,Terrain Plant,,0.29982,32.60782,,,
lavished.flickers.sandbags,Didis - Kampala International University of East Africa,,0.28597,32.60791,,,
recent.released.outbound,Ethiopian Village - Ersam Cafe,,0.299387163053727,32.6048462054665,,,
charted.notifying.moped,Kataba - Push To Win,,0.29835,32.60117,,,
roosts.radiated.honest,Community Police Station,,0.29443,32.61511,,,
foresight.flute.glosses,Bakayiira Diesel Garage,,0.273996392454062,32.5829711034047,,,
