stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
crackles.rivers.lays,Kumusenyu,,0.3479,32.54061,,,
pesky.outhouse.jazzy,New York Bar (Namungoona),,0.34,32.5462,,,
spouse.crouch.grapes,Salama Oil Fuel Station (Namungoona),,0.34067,32.54579,,,
corded.laugh.reflected,Uganda Martyrs Church Namugongo,,0.38545,32.65216,,,
months.consults.reversed,Tosha Oil - Namugoona Parents Senior School,,0.34158,32.54516,,,
cabin.bitters.discusses,Zainab Baby School,,0.34692,32.56707,,,
profited.gladiator.wires,Total Kavule,,0.34343,32.57002,,,
removers.below.wasps,Namungoona,,0.34265,32.5444,,,
glorious.hacksaw.states,Makerere Business Training Centre,,0.34189,32.57092,,,
sprawls.splinters.bend,Centenary Bank (Kyaliwajala),,0.38165,32.64828,,,
upholding.ages.pocket,Hardware World Namugongo,,0.38321,32.64992,,,
scar.spends.rigs,Golden Guest House,,0.36161,32.53036,,,
swelling.attend.undertook,Jjk Supermarket,,0.38425,32.65091,,,
wakes.reclusive.feasts,Nsawo,,0.39047,32.65771,,,
fulfilled.decanter.pans,Uganda Martyrs National Shrine,,0.38693,32.65371,,,
weeded.claps.maddening,Tosha Petrol Station Kavule,,0.34443,32.56928,,,
clips.catapult.rescuer,Jenik Pharmacy,,0.39233,32.66065,,,
urgent.excavate.oblige,Gayaza Park,,0.44823,32.61202,,,
roofed.decimal.inflating,Namugongo Stage,,0.3949,32.66554,,,
fidelity.boss.basically,Embassy Junior School (Kitetika),,0.42038,32.59742,,,
dumplings.tries.cycled,Mirembe (Gayaza),,0.44732,32.61207,,,
feel.snowstorm.stag,Balamu Small Path,,0.44396,32.60946,,,
candle.holdings.geese,Kasangaati Post Office,,0.43993,32.6046,,,
verve.speeches.goat,Namugongo Mixed School,,0.39406,32.66355,,,
chef.boils.explores,Valley Guest House - Christian Community,,0.4423,32.60746,,,
extend.germinate.snow,Kitetika High School,,0.41011,32.59463,,,
tastings.boost.alert,Parambot Breweries,,0.4066,32.59076,,,
frantic.populate.tunes,Church Rd,,0.34579,32.56811,,,
calms.jammy.feel,Seka Supermarket,,0.41865,32.59696,,,
awkward.army.louder,Wampeewo Church of Uganda,,0.42655,32.599,,,
hogs.fizzle.butterfly,Side Road Supermarket,,0.42174,32.59776,,,
