trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
trip_0150,route_0038,service_0002,Calaba Town,"Off peak trip",,,shape_0038,
trip_0151,route_0038,service_0002,Calaba Town,"Evening peak trip",,,shape_0038,
trip_0152,route_0038,service_0001,Calaba Town,"Weekend trip",,,shape_0038,
trip_0153,route_0039,service_0002,Sackville Street,"Morning peak trip",,,shape_0039,
trip_0154,route_0020,service_0002,Mountain Cut,"Weekdays",,,route_0120_1,
trip_0155,route_0039,service_0002,Sackville Street,"Evening peak trip",,,shape_0039,
trip_0156,route_0062,service_0002,Braima Lane,"Weekdays",,,route_0121_1,
trip_0157,route_0040,service_0002,SLPMB,"Morning peak trip",,,shape_0040,
trip_0158,route_0040,service_0002,SLPMB,"Off peak trip",,,shape_0040,
trip_0159,route_0040,service_0002,SLPMB,"Evening peak trip",,,shape_0040,
trip_0160,route_0040,service_0001,SLPMB,"Weekend trip",,,shape_0040,
trip_0161,route_0041,service_0002,Model Junction,"Morning peak trip",,,shape_0041,
trip_0162,route_0041,service_0002,Model Junction,"Off peak trip",,,shape_0041,
trip_0163,route_0041,service_0002,Model Junction,"Evening peak trip",,,shape_0041,
trip_0164,route_0041,service_0001,Model Junction,"Weekend trip",,,shape_0041,
trip_0165,route_0042,service_0002,Model Junction,"Morning peak trip",,,shape_0042,
trip_0166,route_0042,service_0002,Model Junction,"Off peak trip",,,shape_0042,
trip_0167,route_0042,service_0002,Model Junction,"Evening peak trip",,,shape_0042,
trip_0168,route_0042,service_0001,Model Junction,"Weekend trip",,,shape_0042,
trip_0170,route_0043,service_0002,Eastern Police,"Off peak trip",,,shape_0043,
trip_0172,route_0043,service_0001,Eastern Police,"Weekend trip",,,shape_0043,
trip_0173,route_0044,service_0002,Hill Station,"Morning peak trip",,,shape_0044,
trip_0174,route_0044,service_0002,Hill Station,"Off peak trip",,,shape_0044,
trip_0175,route_0044,service_0002,Hill Station,"Evening peak trip",,,shape_0044,
trip_0176,route_0044,service_0001,Hill Station,"Weekend trip",,,shape_0044,
trip_0177,route_0045,service_0002,Manson,"Morning peak trip",,,shape_0045,
trip_0178,route_0045,service_0002,Manson,"Off peak trip",,,shape_0045,
trip_0179,route_0045,service_0002,Manson,"Evening peak trip",,,shape_0045,
trip_0180,route_0045,service_0001,Manson,"Weekend trip",,,shape_0045,
trip_0181,route_0046,service_0003,Tagrin Ferry Terminal,"",,,shape_0046,
trip_0182,route_0048,service_0002,Lumley,"Weekdays",,,route_0104_1,
trip_0183,route_0048,service_0002,Lumley Filling Station,"Weekdays",,,route_0104_2,
trip_0184,route_0050,service_0002,Charlotte Street,"Weekdays",,,route_0104_3,
trip_0185,route_0047,service_0002,Jui,"Morning peak trip",,,shape_0047,
trip_0186,route_0047,service_0002,Jui,"Evening peak trip",,,shape_0047,
trip_0187,route_0048,service_0002,Lumley Filling Station,"Weekdays",,,shape_0048,
trip_0188,route_0048,service_0001,Lumley Filling Station,"Weekends",,,shape_0048,
trip_0189,route_0049,service_0002,Wilberforce,"Morning peak trip",,,shape_0049,
trip_0190,route_0049,service_0002,Wilberforce,"Off peak trip",,,shape_0049,
trip_0191,route_0049,service_0002,Wilberforce,"Evening peak trip",,,shape_0049,
trip_0192,route_0049,service_0001,Wilberforce,"Weekend trip",,,shape_0049,
trip_0193,route_0100,service_0002,Wilberforce,"Weekdays",,,route_0105_1,
trip_0194,route_0050,service_0002,Charlotte Street,"Evening peak trip",,,shape_0050,
trip_0195,route_0050,service_0002,Charlotte Street,"Off peak trip",,,shape_0050,
trip_0196,route_0009,service_0001,Model Junction,"Weekend trip",,,shape_0009,
trip_0197,route_0051,service_0002,Congo Cross,"Morning peak trip",,,shape_0051,
trip_0198,route_0051,service_0002,Congo Cross,"Off peak trip",,,shape_0051,
trip_0199,route_0051,service_0002,Congo Cross,"Evening peak trip",,,shape_0051,
trip_0200,route_0051,service_0001,Congo Cross,"Weekend trip",,,shape_0051,
trip_0201,route_0052,service_0002,Barracks Old Road,"Off peak trip",,,shape_0052,
trip_0202,route_0052,service_0002,Barracks Old Road,"Evening peak trip",,,shape_0052,
trip_0203,route_0052,service_0002,Barracks Old Road,"Morning peak trip",,,shape_0052,
trip_0204,route_0017,service_0001,Kamayama,"Weekend trip",,,shape_0017,
trip_0205,route_0053,service_0002,Jui,"Morning peak trip",,,shape_0053,
trip_0206,route_0053,service_0002,Jui,"Off peak trip",,,shape_0053,
trip_0207,route_0053,service_0002,Jui,"Evening peak trip",,,shape_0053,
trip_0208,route_0053,service_0001,Jui,"Weekend trip",,,shape_0053,
trip_0209,route_0054,service_0002,Model Junction,"Morning peak trip",,,shape_0054,
trip_0210,route_0054,service_0002,Model Junction,"Off peak trip",,,shape_0054,
trip_0211,route_0054,service_0002,Model Junction,"Evening peak trip",,,shape_0054,
trip_0212,route_0054,service_0001,Model Junction,"Weekend trip",,,shape_0054,
trip_0213,route_0055,service_0002,New England,"Morning peak trip",,,shape_0055,
trip_0214,route_0055,service_0002,New England,"Off peak trip",,,shape_0055,
trip_0215,route_0055,service_0002,New England,"Evening peak trip",,,shape_0055,
trip_0216,route_0055,service_0001,New England,"Weekend trip",,,shape_0055,
trip_0217,route_0056,service_0002,SLPMB,"Morning peak trip",,,shape_0056,
trip_0218,route_0056,service_0002,SLPMB,"Off peak trip",,,shape_0056,
trip_0219,route_0056,service_0002,SLPMB,"Evening peak trip",,,shape_0056,
trip_0220,route_0056,service_0001,SLPMB,"Weekend trip",,,shape_0056,
trip_0221,route_0057,service_0002,Bus Station,"Morning peak trip",,,shape_0057,
trip_0222,route_0057,service_0002,Bus Station,"Off peak trip",,,shape_0057,
trip_0223,route_0057,service_0002,Bus Station,"Evening peak trip",,,shape_0057,
trip_0224,route_0057,service_0001,Bus Station,"Weekend trip",,,shape_0057,
trip_0225,route_0058,service_0002,Congo Cross,"Morning peak trip",,,shape_0058,
trip_0226,route_0058,service_0002,Congo Cross,"Off peak trip",,,shape_0058,
trip_0227,route_0058,service_0002,Congo Cross,"Evening peak trip",,,shape_0058,
trip_0228,route_0058,service_0001,Congo Cross,"Weekend trip",,,shape_0058,
trip_0229,route_0059,service_0002,FBC,"Morning peak trip",,,shape_0059,
trip_0230,route_0059,service_0002,FBC,"Off peak trip",,,shape_0059,
trip_0231,route_0059,service_0002,FBC,"Evening peak trip",,,shape_0059,
trip_0232,route_0059,service_0001,FBC,"Weekend trip",,,shape_0059,
trip_0233,route_0060,service_0002,Leicester,"Morning peak trip",,,shape_0060,
trip_0234,route_0060,service_0002,Leicester,"Off peak trip",,,shape_0060,
trip_0235,route_0060,service_0002,Leicester,"Evening peak trip",,,shape_0060,
trip_0236,route_0060,service_0001,Leicester,"Weekend trip",,,shape_0060,
trip_0237,route_0085,service_0001,Guard Street,"Weekend trip",,,shape_0085,
trip_0238,route_0061,service_0002,Regent Road,"Off peak trip",,,shape_0061,
trip_0239,route_0061,service_0002,Regent Road,"Evening peak trip",,,shape_0061,
trip_0240,route_0061,service_0001,Regent Road,"Weekend trip",,,shape_0061,
trip_0241,route_0062,service_0002,Braima Lane,"Morning peak trip",,,shape_0062,
trip_0242,route_0062,service_0002,Braima Lane,"Off peak trip",,,shape_0062,
trip_0243,route_0083,service_0001,Regent Street,"Duplicate of Off peak trip",,,shape_0083,
trip_0244,route_0062,service_0001,Braima Lane,"Weekend trip",,,shape_0062,
trip_0245,route_0063,service_0002,Eastern Police,"Morning peak trip",,,shape_0063,
trip_0246,route_0052,service_0001,Barracks Old Road,"Weekend trip",,,shape_0052,
trip_0247,route_0063,service_0002,Eastern Police,"Evening peak trip",,,shape_0063,
trip_0248,route_0035,service_0002,SLPMB,"Weekdays",,,route_0104_4,
trip_0249,route_0064,service_0002,Sackville Street,"Morning peak trip",,,shape_0064,
trip_0250,route_0064,service_0002,Sackville Street,"Off peak trip",,,shape_0064,
trip_0251,route_0064,service_0002,Sackville Street,"Evening peak trip",,,shape_0064,
trip_0252,route_0064,service_0001,Sackville Street,"Weekend trip",,,shape_0064,
trip_0253,route_0065,service_0002,Red Pump,"Morning peak trip",,,shape_0065,
trip_0254,route_0065,service_0002,Red Pump,"Off peak trip",,,shape_0065,
trip_0255,route_0065,service_0002,Red Pump,"Evening peak trip",,,shape_0065,
trip_0256,route_0065,service_0001,Red Pump,"Weekend trip",,,shape_0065,
trip_0257,route_0066,service_0002,Goderich St,"Weekdays",,,shape_0066,
trip_0258,route_0066,service_0001,Goderich St,"Weekends",,,shape_0066,
trip_0259,route_0067,service_0002,Lumley ,"Morning peak trip",,,shape_0067,
trip_0260,route_0067,service_0002,Lumley ,"Off peak trip",,,shape_0067,
trip_0261,route_0067,service_0002,Lumley ,"Evening peak trip",,,shape_0067,
trip_0262,route_0067,service_0001,Lumley ,"Weekend trip",,,shape_0067,
trip_0263,route_0068,service_0002,Grafton,"Morning peak trip",,,shape_0068,
trip_0264,route_0068,service_0002,Grafton,"Off peak trip",,,shape_0068,
trip_0265,route_0068,service_0002,Grafton,"Evening peak trip",,,shape_0068,
trip_0266,route_0068,service_0001,Grafton,"Weekend trip",,,shape_0068,
trip_0267,route_0069,service_0002,Sackville Street,"Morning peak trip",,,shape_0069,
trip_0268,route_0069,service_0002,Sackville Street,"Off peak trip",,,shape_0069,
trip_0269,route_0069,service_0002,Sackville Street,"Evening peak trip",,,shape_0069,
trip_0270,route_0069,service_0001,Sackville Street,"Weekend trip",,,shape_0069,
trip_0271,route_0110,service_0002,Murray Town Turntable,"Weekdays",,,route_0110_1,
trip_0272,route_0070,service_0002,Kingtom Park,"Off peak trip",,,shape_0070,
trip_0273,route_0070,service_0002,Kingtom Park,"Evening peak trip",,,shape_0070,
trip_0274,route_0070,service_0001,Kingtom Park,"Weekend trip",,,shape_0070,
trip_0275,route_0071,service_0002,Sackville Street,"Morning peak trip",,,shape_0071,
trip_0276,route_0071,service_0002,Sackville Street,"Off peak trip",,,shape_0071,
trip_0277,route_0071,service_0002,Sackville Street,"Evening peak trip",,,shape_0071,
trip_0278,route_0071,service_0001,Sackville Street,"Weekend trip",,,shape_0071,
trip_0279,route_0072,service_0002,Aberdeen,"Morning peak trip",,,shape_0072,
trip_0280,route_0072,service_0002,Aberdeen,"Off peak trip",,,shape_0072,
trip_0281,route_0072,service_0002,Aberdeen,"Evening peak trip",,,shape_0072,
trip_0282,route_0072,service_0001,Aberdeen,"Weekend trip",,,shape_0072,
trip_0283,route_0073,service_0002,Sackville Street,"Weekdays",,,route_0106_2,
trip_0284,route_0073,service_0002,Sackville Street,"Off peak trip",,,shape_0073,
trip_0285,route_0073,service_0002,Sackville Street,"Morning peak trip",,,shape_0073,
trip_0286,route_0073,service_0001,Sackville Street,"Weekend trip",,,shape_0073,
trip_0287,route_0074,service_0002,Barracks Old Road,"Morning peak trip",,,shape_0074,
trip_0288,route_0074,service_0002,Barracks Old Road,"Off peak trip",,,shape_0074,
trip_0289,route_0074,service_0002,Barracks Old Road,"Evening peak trip",,,shape_0074,
trip_0290,route_0074,service_0001,Barracks Old Road,"Weekend trip",,,shape_0074,
trip_0291,route_0075,service_0002,Tengbeh Town,"Morning peak trip",,,shape_0075,
trip_0292,route_0075,service_0002,Tengbeh Town,"Off peak trip",,,shape_0075,
trip_0293,route_0075,service_0002,Tengbeh Town,"Evening peak trip",,,shape_0075,
trip_0294,route_0075,service_0001,Tengbeh Town,"Weekend trip",,,shape_0075,
trip_0295,route_0076,service_0002,Lumley,"Morning peak trip",,,shape_0076,
trip_0296,route_0076,service_0002,Lumley,"Off peak trip",,,shape_0076,
trip_0297,route_0076,service_0002,Lumley,"Evening peak trip",,,shape_0076,
trip_0298,route_0076,service_0001,Lumley,"Weekend trip",,,shape_0076,
trip_0299,route_0077,service_0002,Elk Street,"Morning peak trip",,,shape_0077,
trip_0300,route_0077,service_0002,Elk Street,"Off peak trip",,,shape_0077,
trip_0301,route_0010,service_0002,Dworzark,"Weekdays",,,route_0114_1,
trip_0302,route_0077,service_0001,Elk Street,"Weekend trip",,,shape_0077,
trip_0303,route_0043,service_0002,Eastern Police,"Weekdays",,,route_0112_2,
trip_0304,route_0078,service_0002,Regent Road,"Off peak trip",,,shape_0078,
trip_0305,route_0078,service_0002,Regent Road,"Evening peak trip",,,shape_0078,
trip_0306,route_0078,service_0001,Regent Road,"Weekend trip",,,shape_0078,
trip_0307,route_0079,service_0002,Jui Road,"Morning peak trip",,,shape_0079,
trip_0308,route_0079,service_0002,Jui Road,"Off peak trip",,,shape_0079,
trip_0309,route_0079,service_0002,Jui Road,"Evening peak trip",,,shape_0079,
trip_0310,route_0079,service_0001,Jui Road,"Weekend trip",,,shape_0079,
trip_0311,route_0080,service_0002,Eastern Police,"Morning peak trip",,,shape_0080,
trip_0312,route_0080,service_0002,Eastern Police,"Off peak trip",,,shape_0080,
trip_0313,route_0091,service_0002,Lumley,"Weekdays",,,route_0107_2,
trip_0314,route_0080,service_0001,Eastern Police,"Weekend trip",,,shape_0080,
trip_0315,route_0081,service_0002,Congo Cross,"Morning peak trip",,,shape_0081,
trip_0316,route_0081,service_0002,Congo Cross,"Off peak trip",,,shape_0081,
trip_0317,route_0081,service_0002,Congo Cross,"Evening peak trip",,,shape_0081,
trip_0318,route_0081,service_0001,Congo Cross,"Weekend trip",,,shape_0081,
trip_0319,route_0082,service_0002,Barracks Old Road,"Off peak trip",,,shape_0082,
trip_0320,route_0082,service_0002,Barracks Old Road,"Morning peak trip",,,shape_0082,
trip_0321,route_0082,service_0002,Barracks Old Road,"Evening peak trip",,,shape_0082,
trip_0322,route_0091,service_0001,Lumley,"Weekends",,,route_0107_2,
trip_0323,route_0083,service_0002,Regent Street,"Morning peak trip",,,shape_0083,
trip_0324,route_0025,service_0002,Aberdeen,"Weekdays",,,route_0108_2,
trip_0325,route_0083,service_0002,Regent Street,"Off peak trip",,,shape_0083,
trip_0326,route_0078,service_0002,Regent Road,"Weekdays",,,route_0111_2,
trip_0327,route_0084,service_0002,Grafton,"Morning peak trip",,,shape_0084,
trip_0328,route_0084,service_0002,Grafton,"Off peak trip",,,shape_0084,
trip_0329,route_0084,service_0002,Grafton,"Evening peak trip",,,shape_0084,
trip_0330,route_0084,service_0001,Grafton,"Weekend trip",,,shape_0084,
trip_0331,route_0085,service_0002,Guard Street,"Off peak trip",,,shape_0085,
trip_0332,route_0085,service_0002,Guard Street,"Morning peak trip",,,shape_0085,
trip_0333,route_0085,service_0002,Guard Street,"Evening peak trip",,,shape_0085,
trip_0334,route_0043,service_0002,Eastern Police,"Weekdays",,,route_0113_2,
trip_0335,route_0086,service_0002,Calaba Town,"Morning peak trip",,,shape_0086,
trip_0336,route_0086,service_0002,Calaba Town,"Off peak trip",,,shape_0086,
trip_0337,route_0086,service_0002,Calaba Town,"Evening peak trip",,,shape_0086,
trip_0338,route_0086,service_0001,Calaba Town,"Weekend trip",,,shape_0086,
trip_0339,route_0087,service_0002,Wilberforce,"Morning peak trip",,,shape_0087,
trip_0340,route_0087,service_0002,Wilberforce,"Off peak trip",,,shape_0087,
trip_0341,route_0087,service_0002,Wilberforce,"Evening peak trip",,,shape_0087,
trip_0342,route_0087,service_0001,Wilberforce,"Weekend trip",,,shape_0087,
trip_0343,route_0088,service_0002,Gluocester,"Morning peak trip",,,shape_0088,
trip_0344,route_0088,service_0002,Gluocester,"Off peak trip",,,shape_0088,
trip_0345,route_0088,service_0002,Gluocester,"Evening peak trip",,,shape_0088,
trip_0346,route_0088,service_0001,Gluocester,"Weekend trip",,,shape_0088,
trip_0347,route_0089,service_0002,Ogoo Farm Parking Station ,"Morning peak trip",,,shape_0089,
