stop_id,stop_name,stop_lat,stop_lon
AB014T1S7,TELE GERAG,8.99911943987481,38.7584991418296
AB016T1S7,HEBTE GEWRGIS,9.03438775836052,38.7438920668842
AB015T2S2,HABTE GEWRGIS DILDIY,9.03418416442969,38.7436474798672
AB012T2S14,KURTU HNTSA,9.03426476051578,38.7337658645683
AB018T1S14,AUTOBES TERA,9.0337139129277,38.7298453876939
AB018T1S11,KOLFE,9.03704642050264,38.7173854860523
AB018T2S7,MESERET  EDGET,9.02454252872126,38.715061115188
AB018T1S8,HOLAND,9.02130467997692,38.7159316174925
AB018T1S5,TOR HAILOCH,9.01408913298478,38.7206338528125
AB018T1S6,TOR HAILOCH ZORO,9.01393852049421,38.7209171479506
AB018T2S9,KERANIYO DILDIY,9.01944885750013,38.7089435718752
AB018T1S3,MEDHANBIALEM,9.01758061643447,38.7049769838418
AB018T2S11,KOKEBE,9.01806394727912,38.6994931583512
AB018T1S1,KERANIYO,9.01919421037935,38.6960287707999
AB015T2S7,BETE MENGIST,9.02827,38.76927369484
AB015T1S7,ABOARE GEBEYA,9.02812575404625,38.771642720466
AB015T1S6,ABOARE ADEBABAY,9.02726637358416,38.7747298802772
AB015T2S10,YESETOCH ADEBABAY,9.02335102420584,38.777233686848
AB010T2S12,BELGIUM EMBASSY,9.0318686798807,38.7839308556313
AB010T1S8,ENGILSH EMBASSY,9.03111699626263,38.7848977565404
AB010T1S9,ABOLE SUK,9.02877300932813,38.7887324139129
AB010T2S10,SHOLA GEBEYA,9.02506821602058,38.7952916698267
AB010T2S4,COOL HINTSA,9.02604422761157,38.8273123124746
AB010T1S16,AHMED BUILDING,9.02697145955269,38.8299247646919
AB010T2S3,NOC CHAF,9.02745172855318,38.8307560661546
AB010T1S18,ST. MARIAM,9.03319077955228,38.8448198067765
AB010T2S1,KOTEBE,9.03419788473856,38.8467015911633
AB0106T1S5,CIVIL SERVIC,9.02069265983161,38.8539126868618
AB0106T2S7,MERE,9.02070312892574,38.8603569966981
AB0106T1S6,ST .MECAEL,9.02051362323725,38.8608687568193
AB0106T1S7,CMC,9.02112338647872,38.8725941236176
AB0106T1S8,CMC SQUARE,8.9733110233871,38.8902659914842
AB0106T2S4,BOLE ARABSA (4),9.00234832232533,38.8767600211758
AB0106T1S11,AYAT ADEBABAY HULET(2),8.99657346258923,38.8852470830086
AB0106T2S3,BOLE ARABSA(3),8.99632935046202,38.8855314475722
AB0106T2S2,BOLE ARABSA (2),8.98416116488519,38.8851154925685
AB0106T1S15,ST.GEBEREAL,8.96542856771642,38.8849371051102
AB0106T2S1,BOLE ARABSA(1),8.97405260876757,38.8892595541822
AB003T1S2,3 KUTIR MAZORIYA,8.99265515354933,38.7157784625619
AB003T2S12,AYERTENA,8.99435808441446,38.7177779919029
AB003T1S4,TORHAYILOCH,9.00987774052044,38.7206153012042
AB003T2S9,AGUST,9.01192919139767,38.721681401163
AB003T1S5,MLKONANOCH CLUB,9.01128978833732,38.7265404985425
AB003T1S6,COCA,9.01196106907174,38.7290424767922
AB019T1S12,GULELE FANA,9.05823582003974,38.7065446272566
AB003T1S7,HIGHCOURT,9.01159358071255,38.7334310551502
AB004T1S21,DARMAR,9.01578483265906,38.7348128833198
AB019T1S11,AWOLIA,9.05760389628584,38.7116452393352
AB019T1S10,WINGET CHAF,9.05436858391687,38.7149855769146
AB019T2S9,FILANS,9.05288354112288,38.7202229177557
AB019T2S10,MEDHANIALEM (TOTAL),9.05137919131972,38.7220616173617
AB019T1S8,MEDHANIALEM SCHOOL,9.05155107528768,38.7220331182496
AB019T1S7,SAINT PAWLOS HOSPITAL,9.0467098,38.7286279
AB006T2S11,ST.GIYOORGISI CHURCH,9.03639879204725,38.7524096505933
AB003T1S15,BANK DUROMA,9.0320019043352,38.7512370169731
AB021T1S1,FILI DORO,9.03537930839331,38.6853260374116
AB021T2S9,POLICE TABIYA,9.0340620362596,38.6888925606896
AB021T1S3,REALSTATE,9.0328995826845,38.6953643096684
AB021T2S7,COMPRENSIVE,9.03400816540039,38.7045386760904
AB021T2S5,18,9.03356449842898,38.7134129780045
AB009T2S1,BRAS CLINIC,8.99009216578808,38.7937772930492
AB021T1S7,DELDEY,9.01123138811506,38.7377797937413
AB009T2S3,LIYAN CITY HOTEL,9.00427207393814,38.7797584392755
AB022T1S2,FELWEHA,9.01771268826815,38.7572663032484
AB022T1S4,WOMEN SQUARE,9.02344,38.7771737893391
AB022T1S7,YEKA MICHAEL,9.02441471904825,38.7961408217395
AB022T2S9,MANAGEMENT INSTITUTE,9.02037215284225,38.8268655973809
AB009T2S6,ST.GEBREL,9.01990655294544,38.7675768469636
AB022T1S13,TIKUR ABAY,9.02044245784258,38.8518375421583
AB009T2S10,SEBA DERGA,9.03893791640616,38.7568279167629
AB022T2S4,SAFARIE,9.01028939482201,38.8521940201736
AB004T1S4,MAREMIYA,8.91133829432101,38.7638263069246
AB022T1S15,SAINT GEORGIS,8.99552139190825,38.8513198260137
AB004T1S8,ABO JUNCTION,8.94507626381614,38.7663022072891
AB025T2S1,AKAKI KORKORO,8.85976228625611,38.7961695110393
AB025T1S23,02 KEBELE,8.86347950137457,38.7926781268171
AB025T2S4,AKAKI BERETABERET,8.87388182477756,38.7887407830304
AB004T2S11,MAMO POLY NEFSILK TECHNIC,8.97218175257371,38.7608807798172
AB025T1S20,MESHULEKIYA AKAKI,8.87688522826638,38.7866052090545
AB025T1S19,08 ADARASH,8.88443693017111,38.7856036408764
AB004T2S10,GOTERA SHELL,8.97594850825539,38.7599031588682
