trip_id,service_id,route_id,shape_id,direction_id,trip_headsign
96,Mo-Su,10228286,10228285,0,Cité Administrative
97,Mo-Su,10228286,10228284,1,Abobo Baoulé
98,Mo-Su,10228332,10228619,0,Koumassi Nord-Est
99,Mo-Su,10228332,10228331,1,Cocody CHU
100,Mo-Su,10228640,10228639,0,Angré
101,Mo-Su,10228640,10228638,1,Gare Sud
102,Mo-Su,10228832,10228831,0,Cocody Saint Jean
103,Mo-Su,10228832,10228830,1,Yopougon Lavage Saint André
104,Mo-Su,10228894,10228982,0,Gare Nord
105,Mo-Su,10228894,10228893,1,CHU Treichville
106,Mo-Su,10228996,10228995,0,Angré Terminus 81-82
107,Mo-Su,10228996,10228994,1,Yopougon Lavage Saint André
108,Mo-Su,10229775,10230044,0,Gare Nord
109,Mo-Su,10229775,10229774,1,Riviera Sogefiha
110,Mo-Su,10229775,10229117,0,Gare Nord
111,Mo-Su,10229775,10229085,1,École de Police
112,Mo-Su,10230294,10230474,0,Gare Nord
113,Mo-Su,10230294,10230293,1,Vridi Iran
114,Mo-Su,10231465,10231839,0,Gare Sud
115,Mo-Su,10231465,10231464,1,Gare nord Adjamé
116,Mo-Su,10232988,10232987,0,Gare Nord
117,Mo-Su,10232988,10408844,1,Koumassi Prodomo
118,Mo-Su,10232988,10217853,0,Liberte Adjame
119,Mo-Su,10232988,10217854,1,Koumassi Mesano
120,Mo-Su,10233569,10233567,0,Adjamé Liberté
121,Mo-Su,10233569,10233568,1,Bingerville
122,Mo-Su,10234049,10234830,0,Gare Sud
123,Mo-Su,10234049,10234048,1,Koumassi Sicogi - Dépôt SOTRA
124,Mo-Su,10235280,10235279,0,Gandhi
125,Mo-Su,10235280,10235278,1,Gare Sud
126,Mo-Su,10235433,10235565,0,Gare Sud
127,Mo-Su,10235433,10235432,1,M'pouto - CIAD
128,Mo-Su,10235433,10261631,0,Gare Sud
129,Mo-Su,10235433,10261632,1,Riviera 2
130,Mo-Su,10237485,8774949,0,Carrefour de la Vie
131,Mo-Su,10237485,10237484,1,Cité Eden
132,Mo-Su,10238035,10238034,0,Angré
133,Mo-Su,10238035,10238033,1,Gare Nord
134,Mo-Su,10240686,10465083,0,Port-Bouët Phare
135,Mo-Su,10240686,10240685,1,Gare nord
136,Mo-Su,10240809,10240808,0,Grand carrefour Koumassi
