stop_id,stop_name,stop_lat,stop_lon
TX163T2S1,ABUNE PETROS SQUARE,9.03695777442649,38.7488107693534
TX309T1S4,ALEM BANK,9.00071200657013,38.6778796400171
TX309T1S3,BETHEL,9.004180535015,38.6941472574985
TX205T2S12,ADEY ABEBA,8.95780530927673,38.7640130187803
TX183T2S3,ADEBABAY,8.94864353429719,38.7285423060218
TX205T1S8,BINIYAM BUILDING,8.94185480855684,38.76483533419
TX153T2S10,ADDIS GOMA,8.95363691204841,38.7679497902906
TX153T2S8,ADDIS SEFER,8.96054441451351,38.7673747683234
TX213T2S5,AWARE,9.02674678104857,38.7757347258524
TX212T2S3,AWARE SQUARE,9.02344225878085,38.7817013441695
TX302T1S5,AYER TENA TERMINAL,8.98342620672698,38.6967019368946
TX153T2S1,BOLE BRIDGE,8.98712250804696,38.7908011600363
TX304T1S5,AYER TENA BRIDGE,8.9850777712866,38.704892580446
TX302T2S7,AUGUSTA,9.00616860046876,38.7189455910124
TX175T2S7,ANDEGNA STATION,9.06806868109471,38.760813970388
TX175T1S4,02,9.07204252546945,38.7596792111171
TX446T1S015,ABISINYA BANK,8.90134525306537,38.7673162049678
TX305T2S9,ADDIS KETEMA,9.0245852,38.7335725
TX181T2S5,AKAKI,8.87641992175823,38.7869111474895
TX174T1S3,6 KILO,9.04455230194348,38.76125116981
TX308T2S7,AWTOBIS TERA,9.03319,38.73235
TX239T1S6,A.A FOME AND PLASTIC FABRICA,8.91710466743839,38.7614004143043
TX314T1S2,ADDISU MICHEAL,9.04047,38.73193
TX167T1S4,AFINCHO BER,9.04536062670508,38.7553609982186
TX198T1S14,ANWAR MOSQUE,9.03347368961256,38.7416015842999
TX314T1S6,ANBESSA GARAGE,9.06318,38.72019
TX168T1S7,ABEBE SUK,9.02844621282752,38.7894305580247
TX201T1S3,AROUND HIBRET BANK,9.00429486419073,38.7468215097489
TX327T1S3,ADDIS ABABA KOSHE,8.97225305837821,38.7135541207756
TX307T1S2,BISRATE GEBRIEL,8.9832,38.71923
TX195T2S5,ETHIO-CUBA MEMORIAL PARK,9.02062405798814,38.7521870392066
TX312T2S10,BALCHA,9.01152,38.73754
TX244T1S1,18 MAZORIYA,9.0334924264502,38.7122064607664
TX263,ATENA TERA,9.04158032161143,38.7124158590271
TX165T1S6,6 KILO TOTAL,9.05182338232504,38.7090255573175
TX163T2S1,ARADA BUILDING,9.03308687782808,38.7516823208517
TX424T2S15,ARAT MENTA,9.05140858324199,38.7094017492075
TX424T2S16,BASHWAM SCHOOL,9.05143262426773,38.7079979020522
TX194T2S8,AGONA CENIMA,8.98837676006566,38.7595636109228
TX263T1S3,BIRCHKO FABRICA,9.05799604535519,38.7006231132621
TX263T2S9,ABUYE,9.05848529203674,38.6940380863716
TX263T2S11,ASKO GEBEYA,9.06140910951017,38.6923925668889
TX179T1S10,AA MUSEUM,9.01000907831599,38.7636692365978
TX443T2S6,6 KILO AAU,9.04632169616287,38.7615651644507
TX443T2S5,ANBESSA GEBI,9.04311569620425,38.7614606303218
TX338T1S12,ASHEWA MEDA,9.10792257370858,38.7120084224575
TX443T2S4,5 KILO,9.04026052811948,38.7621746412139
TX440T1S3,4 KILO CONDOMINIUM,9.02947731003754,38.7612200838092
TX351T1S11,AMERICAN EMBASSY,9.06003822678517,38.7621304728573
TX200T1S4,AMSALE BUILDING,8.98557009790743,38.7679871420067
TX425T1S4,BETE MENGEST,9.02676103356824,38.7625400015388
TX351T1S3,BETEMENGIST,9.02142477730699,38.7635548214919
TX355T1S4,4 KILO MINILIK SCHOOL,9.03576203207649,38.7630349015397
TX334T1S7,08 TOTAL,8.88686848141572,38.7820070758893
TX260T1S4,BERE TERA,9.06333361808584,38.7301159461999
TX260T1S5,ADDISU GEBEYA,9.0625247210564,38.7331653844136
TX335T1S2,ABISINIYA COLLEGE,8.95900587184395,38.7708067072889
TX332T2S2,BIHERAWI,9.01653123646912,38.7526672723834
TX341T1S6,AXUM PHARMACY,8.99688888505486,38.7667710596223
TX424T2S3,GOJAM BERENDA,9.03425245428148,38.7386076395084
TX333T1S2,BIHERE TSIGE,8.96194658194557,38.7560209307827
TX458T1S8,AWASH WINE,9.01204704920505,38.7273725875158
TX424T2S8,ATENA TERA CHECK,9.03645806538599,38.7183512807539
TX458T1S4,BERBERE BERENDA,9.02666921433382,38.7406515531548
TX347T1S4,BEG TERA,9.00079742688721,38.6932310285325
TX454T2S6,05,9.04703629778982,38.7688882126124
TX344T1S2,AWELIYA,9.05695856055733,38.7106171761352
TX449T2S10,AMBASSADOR,9.01661,38.75509
TX472T1S4,4 KILO,9.03498016346404,38.7593483196199
TX473T1S3,BALDERAS,9.02836405699348,38.7846374399345
TX453T2S5,AU,9.00280506816244,38.7412023970161
TX472T1S5,4 KILO KIDISTE SILASSIE COLLEGE,9.03226,38.76471
TX472T1S7,BEL AIR,9.03223563094994,38.7726427182499
TX428T2S2,ATLAS,9.00429,38.77972
TX331T1S4,BESHALE,9.00086853625865,38.8800419920084
TX331T1S5,40/60 BER,8.99835021270653,38.8837448221766
TX331T1S9,15,8.97534951303358,38.8881732344726
TX271T1S1,AKAKI NIGD,8.86802072744025,38.7887012866553
TX271T2S9,BESEKA,8.87904719914681,38.7850359605972
TX271T1S3,08 KIBEB,8.88444284479719,38.7855962161057
TX204T1S2,ABDU BUILDING,8.96993160792404,38.7391100265204
TX271T2S7,AKAKI STADIUM,8.88909270740139,38.7788851302744
TX276T1S10,BABUR TABIYA,8.9355761472202,38.7648123580081
